id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,detailed_season,neighbourhood_group
26063949.0,,,,,"King Room at The Equus, Near Ala Moana!",,,,195869416,,,,,,,,,,,,,,,,,,Primary Urban Center,,,21.28656,-157.83922,,Private room,,,,,,,193,1,,,,,,,,,,,,,351,,711,,,,2022-07-21,,,,,,,,,,7,,,,14.08,Early Summer,Honolulu
6400264.0,,,,,★Chic Treehouse Hideaway★Insta-worthy Views★Swing★,,,,33372876,,,,,,,,,,,,,,,,,,Topanga,,,34.07782,-118.59875,,Entire home/apt,,,,,,,219,2,,,,,,,,,,,,,341,,706,,,,2022-09-09,,,,,,,,,,1,,,,8.05,Early Fall,Unincorporated Areas
3798941.0,,,,,Williamsburg Penthouse Guestroom,,,,6642777,,,,,,,,,,,,,,,,,,Williamsburg,,,40.71067,-73.9525,,Private room,,,,,,,112,1,,,,,,,,,,,,,17,,705,,,,2022-08-30,,,,,,,,,,2,,,,7.17,Late Summer,Brooklyn
32678720.0,,,,,Great Room in the heart of Times Square!,,,,244361589,,,,,,,,,,,,,,,,,,Theater District,,,40.75876,-73.98846,,Hotel room,,,,,,,452,1,,,,,,,,,,,,,364,,704,,,,2022-09-02,,,,,,,,,,8,,,,16.96,Early Fall,Manhattan
1217318.0,,,,,Williamsburg Penthouse Hideaway,,,,6642777,,,,,,,,,,,,,,,,,,Williamsburg,,,40.71165,-73.95236,,Private room,,,,,,,113,1,,,,,,,,,,,,,27,,702,,,,2022-08-28,,,,,,,,,,2,,,,6.24,Late Summer,Brooklyn
1257025.0,,,,,Beach side heart of santa monica/P,,,,6471245,,,,,,,,,,,,,,,,,,Santa Monica,,,34.02251,-118.50066,,Private room,,,,,,,99,1,,,,,,,,,,,,,300,,698,,,,2022-08-23,,,,,,,,,,1,,,,6.25,Late Summer,Other Cities
7112899.0,,,,,"Studio Cottage, Magical Outdoors",,,,20043329,,,,,,,,,,,,,,,,,,Echo Park,,,34.09139,-118.25123,,Entire home/apt,,,,,,,159,31,,,,,,,,,,,,,1,,698,,,,2021-08-01,,,,,,,,,,13,,,,7.99,Late Summer,City of Los Angeles
18911437.0,,,,,#3 Ka'uiki $135. per night for 2 people,,,,131179825,,,,,,,,,,,,,,,,,,Hana,,,20.77505,-156.00128,,Private room,,,,,,,135,1,,,,,,,,,,,,,241,,696,,,,2022-09-11,,,,,,,,,,4,,,,10.85,Early Fall,Maui
12929985.0,,,,,Ballard Greenwood Private Suite,,,,13345485,,,,,,,,,,,,,,,,,,Phinney Ridge,,,47.68212,-122.36104,,Entire home/apt,,,,,,,95,1,,,,,,,,,,,,,169,,689,,,,2022-09-06,,,,,,,,,,1,,,,8.91,Early Fall,Other neighborhoods
17794278.0,,,,,"Close to the airport, 105, 405 freeway",,,,90346340,,,,,,,,,,,,,,,,,,Del Aire,,,33.91623,-118.36789,,Private room,,,,,,,70,1,,,,,,,,,,,,,80,,687,,,,2022-08-30,,,,,,,,,,1,,,,10.37,Late Summer,Unincorporated Areas
